Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,FarePerPerson,IsAlone,AgeGroup
0,3,1,-0.05064862638444217,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
0,1,1,1.1291664352766801,0,0,-0.07536763581259531,C,1,-0.07536763581259531,1,0
1,1,0,-0.05064862638444217,1,0,2.304147221322736,C,2,1.152073610661368,0,1
1,3,0,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
0,1,1,-0.05064862638444217,1,0,1.0152433403744314,C,2,0.5076216701872157,0,1
0,1,1,1.3258022788868673,1,0,0.4109346968419513,S,2,0.20546734842097564,0,0
1,3,1,-0.05064862638444217,0,0,-0.4858059072475647,C,1,-0.4858059072475647,1,1
0,3,1,-0.7388740790200969,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,3,0,-1.0338278444353775,2,0,-0.2700712387018304,S,3,-0.09002374623394348,0,1
1,3,0,-1.4270995316557518,1,0,-0.4054371920602286,C,2,-0.2027185960301143,0,1
0,3,0,1.1291664352766801,1,0,-0.4408234622462639,S,2,-0.22041173112313195,0,0
0,2,0,-0.1489665481895357,1,0,-0.20998247968326145,S,2,-0.10499123984163072,0,1
0,3,1,-0.05064862638444217,0,0,-0.47245418499363856,C,1,-0.47245418499363856,1,1
1,2,0,-2.5085966715117807,1,2,0.20221038351505008,C,4,0.05055259587876252,0,1
1,3,0,-0.935509922630284,0,0,-0.4727866761268747,Q,1,-0.4727866761268747,1,1
0,3,1,-0.05064862638444217,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,3,1,-0.05064862638444217,1,0,-0.3201452045506379,Q,2,-0.16007260227531894,0,1
1,3,0,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
0,3,1,-0.05064862638444217,2,0,-0.1963783846414574,C,3,-0.06545946154715247,0,1
0,3,0,-1.0338278444353775,1,0,-0.274077155969735,S,2,-0.1370385779848675,0,1
0,3,1,-2.1153249842914064,4,1,0.16432041503657444,S,6,0.027386735839429074,0,1
0,3,1,-0.7388740790200969,0,0,-0.4743730193649649,S,1,-0.4743730193649649,1,1
1,1,0,2.014027731522522,1,0,0.9062503433492833,C,2,0.45312517167464167,0,0
1,2,0,0.04766929542065137,1,0,-0.10983454798564649,S,2,-0.05491727399282324,0,0
1,1,1,-0.05064862638444217,0,0,0.08044652223982192,S,1,0.08044652223982192,1,1
1,2,0,-0.7388740790200969,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,1
0,3,1,-0.0014896654818953988,0,0,-0.4858059072475647,C,1,-0.4858059072475647,1,1
1,2,0,-2.3119608279015935,1,2,-0.07478277189148126,S,4,-0.018695692972870315,0,1
0,3,1,-1.7220532970710323,5,2,0.30878380651038395,S,8,0.038597975813797994,0,1
0,3,1,-0.6405561572150034,0,0,-0.4858059072475647,C,1,-0.4858059072475647,1,1
1,1,0,0.9325305916664932,0,0,0.971763114348595,S,1,0.971763114348595,1,0
0,1,1,1.620756044302148,1,0,1.0413659268784372,S,2,0.5206829634392186,0,0
0,3,1,-2.410278749706687,3,2,-0.07177833394055284,S,6,-0.011963055656758807,0,1
0,1,1,-0.05064862638444217,0,0,-0.07536763581259531,C,1,-0.07536763581259531,1,1
1,3,1,-0.05064862638444217,1,1,-0.32523672539814463,C,3,-0.10841224179938154,0,1
1,2,0,0.04766929542065137,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,0
0,3,1,-0.935509922630284,0,0,-0.46719641857951383,S,1,-0.46719641857951383,1,1
1,3,0,-1.132145766240471,4,2,-0.47186932107252455,S,7,-0.06740990301036065,0,1
0,3,1,-0.24728446999462925,2,0,-0.45709750114712633,S,3,-0.15236583371570878,0,1
0,2,1,0.34262306083593197,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,0
0,3,0,-1.2304636880455646,5,2,0.30878380651038395,S,8,0.038597975813797994,0,1
0,2,1,-0.7388740790200969,0,0,0.8415708031416955,S,1,0.8415708031416955,1,1
0,3,1,-0.24728446999462925,1,0,-0.34109214594451104,C,2,-0.17054607297225552,0,1
1,3,1,0.34262306083593197,0,0,0.5009837111071788,S,1,0.5009837111071788,1,0
0,3,1,-0.3456023917997228,0,0,-0.47737745731589337,S,1,-0.47737745731589337,1,1
0,3,1,-0.05064862638444217,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
0,3,1,-0.05064862638444217,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
1,3,0,0.1459872172257449,0,0,-0.3807347032276949,S,1,-0.3807347032276949,1,0
0,3,1,-0.6405561572150034,0,0,-0.45033751575753733,S,1,-0.45033751575753733,1,1
1,3,1,0.04766929542065137,0,0,-0.4403227225877758,S,1,-0.4403227225877758,1,0
1,3,0,-0.05064862638444217,0,0,-0.47462338919420893,Q,1,-0.47462338919420893,1,1
0,1,1,-0.05064862638444217,0,0,0.3127897237782886,S,1,0.3127897237782886,1,1
1,2,0,-1.132145766240471,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,1
1,3,0,0.4409409826410255,3,0,-0.31313484933180485,S,4,-0.07828371233295121,0,0
0,3,1,-1.2304636880455646,1,3,0.057913237607858555,S,5,0.011582647521571711,0,1
0,3,1,-0.05064862638444217,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
1,1,0,-0.5422382354099099,3,2,4.637177414481302,S,6,0.7728629024135504,0,1
0,3,1,-0.4439203136048163,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,3,1,0.04766929542065137,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,0
0,3,1,-0.8371920008251904,0,0,-0.4732874157853628,S,1,-0.4732874157853628,1,1
0,1,1,1.7190739661072414,1,0,0.5947061515070746,S,2,0.2973530757535373,0,0
0,3,1,-0.24728446999462925,1,2,-0.21849505387755871,S,4,-0.05462376346938968,0,1
0,3,1,-0.05064862638444217,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
1,1,1,-0.5422382354099099,0,1,0.6384367473621553,C,2,0.31921837368107764,0,1
1,2,0,0.539258904446119,0,1,-0.16992330700421546,S,2,-0.08496165350210773,0,0
0,2,1,0.539258904446119,1,0,-0.10983454798564649,S,2,-0.05491727399282324,0,0
0,3,0,-0.05064862638444217,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
0,3,1,-0.05064862638444217,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
0,1,1,-0.7388740790200969,0,1,0.9174328614026388,S,2,0.4587164307013194,0,1
0,3,1,0.4409409826410255,0,0,-0.45726374671374437,S,1,-0.45726374671374437,1,0
0,3,1,0.8342126698613996,2,0,-0.47186932107252455,S,3,-0.15728977369084152,0,0
0,3,1,-0.05064862638444217,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
1,3,0,-0.7388740790200969,0,0,-0.47737745731589337,S,1,-0.47737745731589337,1,1
1,3,1,-0.05064862638444217,0,0,-0.474873759023453,S,1,-0.474873759023453,1,1
0,3,1,0.9325305916664932,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,0
1,3,0,-0.05064862638444217,1,0,-0.14688928271376406,Q,2,-0.07344464135688203,0,1
0,1,1,1.817391887912335,0,0,0.4109346968419513,S,1,0.4109346968419513,1,0
0,3,0,-1.3779405707532049,1,0,-0.34109214594451104,C,2,-0.17054607297225552,0,1
0,3,1,-0.6405561572150034,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,3,0,-0.8371920008251904,1,0,-0.43381310702743087,S,2,-0.21690655351371543,0,1
0,3,0,-1.132145766240471,0,0,-0.34101002464051894,C,1,-0.34101002464051894,1,1
0,3,1,-0.7388740790200969,0,0,-0.47186932107252455,S,1,-0.47186932107252455,1,1
0,2,1,0.04766929542065137,1,0,-0.20998247968326145,S,2,-0.10499123984163072,0,0
0,1,1,-0.4439203136048163,0,1,4.3271354416145575,C,2,2.1635677208072788,0,1
0,2,1,-0.7388740790200969,2,0,0.8415708031416955,S,3,0.28052360104723184,0,1
0,3,1,-0.05064862638444217,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,2,1,0.39178202173847876,1,0,-0.028298107914716333,C,2,-0.014149053957358167,0,0
1,2,0,0.39178202173847876,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,0
0,1,1,2.50561734054799,0,1,0.9174328614026388,S,2,0.4587164307013194,0,0
1,3,1,-1.6237353752659387,1,0,-0.4054371920602286,C,2,-0.2027185960301143,0,1
0,3,1,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
1,3,1,-0.4439203136048163,0,0,-0.4875584960522729,S,1,-0.4875584960522729,1,1
1,3,0,-0.05064862638444217,1,1,-0.18277629255828737,C,3,-0.060925430852762454,0,1
0,3,1,1.620756044302148,0,0,-0.49089742809507136,S,1,-0.49089742809507136,1,0
0,3,1,0.4409409826410255,0,0,-0.47245418499363856,C,1,-0.47245418499363856,1,0
0,3,1,-0.8371920008251904,0,0,-0.48939520911960716,S,1,-0.48939520911960716,1,1
0,3,0,1.817391887912335,1,0,-0.3401747908901609,S,2,-0.17008739544508045,0,0
1,2,0,0.04766929542065137,1,0,-0.10983454798564649,S,2,-0.05491727399282324,0,0
0,2,1,-0.3456023917997228,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,1
0,2,1,-0.5422382354099099,0,0,-0.32924264266604925,C,1,-0.32924264266604925,1,1
1,1,0,-0.935509922630284,0,2,-0.10416016617565961,S,3,-0.03472005539188654,0,1
0,1,1,0.8342126698613996,1,0,0.43296724181542656,S,2,0.21648362090771328,0,0
0,3,1,-1.2304636880455646,0,0,-0.4459971043977627,S,1,-0.4459971043977627,1,1
0,1,1,-0.4439203136048163,0,0,0.9557394452769766,C,1,0.9557394452769766,1,1
0,3,0,-0.05064862638444217,0,2,-0.32523672539814463,C,3,-0.10841224179938154,0,1
1,3,0,-0.6405561572150034,0,0,-0.47537449868194104,S,1,-0.47537449868194104,1,1
1,3,0,-0.4439203136048163,1,0,-0.31313484933180485,S,2,-0.15656742466590243,0,1
0,3,1,-0.935509922630284,0,0,-0.49540408502146405,Q,1,-0.49540408502146405,1,1
0,2,1,-1.0338278444353775,0,0,-0.40026354990872987,S,1,-0.40026354990872987,1,1
0,2,1,-0.935509922630284,1,1,0.10548350516422565,S,3,0.03516116838807522,0,1
1,3,1,-0.1489665481895357,0,0,-0.4744571436275909,S,1,-0.4744571436275909,1,1
0,3,0,-1.9186891406812194,2,2,0.057913237607858555,S,5,0.011582647521571711,0,1
0,2,1,0.7850537089588528,0,2,-0.10983454798564649,S,3,-0.0366115159952155,0,0
0,2,1,1.3258022788868673,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,0
0,2,1,2.2106635751327093,0,0,-0.3797332239107188,S,1,-0.3797332239107188,1,0
1,1,0,-0.6405561572150034,1,0,0.7033666573989868,S,2,0.3516833286994934,0,1
0,3,1,1.178325396179227,0,2,-0.3401747908901609,S,3,-0.11339159696338696,0,0
0,3,1,-0.05064862638444217,0,0,-0.48413744270548237,S,1,-0.48413744270548237,1,1
0,1,1,2.2106635751327093,0,1,0.5987961930376052,C,2,0.2993980965188026,0,0
1,3,0,-1.2304636880455646,0,0,-0.4757089927738111,Q,1,-0.4757089927738111,1,1
0,3,1,0.1459872172257449,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,0
0,3,1,-0.05064862638444217,0,0,-0.45709750114712633,S,1,-0.45709750114712633,1,1
0,3,1,-0.05064862638444217,8,2,0.7624539371005796,S,11,0.06931399428187088,0,1
0,3,1,1.5224381224970545,0,1,-0.30812745274692405,S,2,-0.15406372637346202,0,0
1,2,0,1.1291664352766801,0,0,-0.31513780796575713,S,1,-0.31513780796575713,1,0
0,3,1,-0.24728446999462925,0,0,-0.474873759023453,S,1,-0.474873759023453,1,1
0,3,1,-1.132145766240471,0,0,-0.45709750114712633,S,1,-0.45709750114712633,1,1
1,3,1,-1.9186891406812194,0,2,-0.21949653319453488,S,3,-0.07316551106484497,0,1
1,1,0,-0.05064862638444217,0,1,0.47102345586052025,S,2,0.23551172793026012,0,1
0,3,0,1.620756044302148,1,4,-0.07177833394055284,S,6,-0.011963055656758807,0,0
0,1,1,-0.05064862638444217,0,0,-0.1113367669611107,S,1,-0.1113367669611107,1,1
0,3,1,-0.05064862638444217,0,0,0.5009837111071788,S,1,0.5009837111071788,1,1
0,3,1,-2.410278749706687,4,1,-0.047242090674637145,Q,6,-0.007873681779106191,0,1
0,3,1,-0.7388740790200969,0,0,-0.47186932107252455,S,1,-0.47186932107252455,1,1
0,3,1,-1.0338278444353775,1,1,-0.4732874157853628,S,3,-0.15776247192845427,0,1
0,3,1,-0.05064862638444217,3,1,-0.12051632638051411,S,5,-0.024103265276102823,0,1
0,1,0,2.1123456533276155,0,0,-0.055504295039690406,C,1,-0.055504295039690406,1,0
0,2,1,0.1459872172257449,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,0
0,3,1,0.7358947480563062,0,0,-0.6306037928132442,S,1,-0.6306037928132442,1,0
0,3,0,-0.05064862638444217,8,2,0.7624539371005796,S,11,0.06931399428187088,0,1
0,2,1,-0.05064862638444217,0,0,-0.3291585184034232,C,1,-0.3291585184034232,1,1
0,3,1,-1.9186891406812194,4,2,-0.0019251515814663958,S,7,-0.0002750216544951994,0,1
1,3,0,-2.410278749706687,0,2,-0.1894521536852504,S,3,-0.06315071789508346,0,1
0,1,1,-0.05064862638444217,0,0,0.37087552416290526,S,1,0.37087552416290526,1,1
1,3,0,-0.05064862638444217,1,0,-0.3201452045506379,Q,2,-0.16007260227531894,0,1
1,1,1,1.620756044302148,0,0,-0.09881827549890883,S,1,-0.09881827549890883,1,0
0,3,1,1.1291664352766801,1,1,-0.3201452045506379,Q,3,-0.10671506818354597,0,0
0,3,1,0.7358947480563062,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,0
1,2,0,0.34262306083593197,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,0
0,2,1,-0.935509922630284,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,1
1,3,0,-0.935509922630284,1,0,-0.4732874157853628,S,2,-0.2366437078926814,0,1
1,2,1,-2.5085966715117807,1,1,-0.10983454798564649,S,3,-0.0366115159952155,0,1
1,1,0,1.5224381224970545,0,0,-0.07536763581259531,C,1,-0.07536763581259531,1,0
0,3,1,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
0,3,1,1.3258022788868673,0,1,-0.4622711432986251,S,2,-0.23113557164931256,0,0
1,3,0,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
0,2,0,-0.4439203136048163,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,1
0,3,1,-0.05064862638444217,0,0,-0.4403227225877758,S,1,-0.4403227225877758,1,1
0,3,1,-0.05064862638444217,8,2,0.7624539371005796,S,11,0.06931399428187088,0,1
0,3,1,0.539258904446119,0,0,-0.5004956058689708,S,1,-0.5004956058689708,1,0
0,3,1,1.6699150052046947,0,0,-0.4858900315101906,C,1,-0.4858900315101906,1,0
1,3,1,-1.0338278444353775,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,3,1,0.34262306083593197,1,0,-0.31313484933180485,S,2,-0.15656742466590243,0,0
1,3,1,-0.24728446999462925,0,0,-0.25429793945945606,C,1,-0.25429793945945606,1,1
1,3,0,-1.2304636880455646,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
1,1,1,1.1291664352766801,0,0,-0.00968661628803154,C,1,-0.00968661628803154,1,0
0,3,1,-0.4439203136048163,0,0,-0.48939520911960716,S,1,-0.48939520911960716,1,1
1,2,0,0.6375768262512126,0,0,-0.20998247968326145,S,1,-0.20998247968326145,1,0
0,3,1,-0.6405561572150034,0,0,-0.48538929185170254,S,1,-0.48538929185170254,1,1
0,2,1,0.1459872172257449,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,0
0,3,1,-0.05064862638444217,1,0,-0.47537449868194104,Q,2,-0.23768724934097052,0,1
1,1,0,0.24430513903083845,1,0,1.6382475997962225,C,2,0.8191237998981112,0,0
1,3,0,-0.1489665481895357,0,0,-0.47186932107252455,S,1,-0.47186932107252455,1,1
0,2,1,1.3258022788868673,1,0,-0.0898049616461235,S,2,-0.04490248082306175,0,0
1,1,0,0.34262306083593197,0,0,0.897487399325742,C,1,0.897487399325742,1,0
0,2,1,0.1459872172257449,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,0
1,3,1,-1.2304636880455646,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,2,1,-0.1489665481895357,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,1
0,3,1,2.2106635751327093,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,0
0,3,1,-0.05064862638444217,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
1,1,1,0.9325305916664932,1,0,1.1720589777438248,S,2,0.5860294888719124,0,0
0,3,1,-0.6405561572150034,0,0,-0.44332716053870425,S,1,-0.44332716053870425,1,1
1,2,1,-0.935509922630284,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,1
0,3,1,-0.7880330399226437,0,0,-0.48538929185170254,S,1,-0.48538929185170254,1,1
0,2,1,-1.0338278444353775,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,1
0,3,0,-0.05064862638444217,3,1,-0.12051632638051411,S,5,-0.024103265276102823,0,1
1,1,0,0.6375768262512126,1,0,1.0413659268784372,S,2,0.5206829634392186,0,0
0,3,1,0.04766929542065137,0,0,-0.474873759023453,S,1,-0.474873759023453,1,0
1,3,0,-2.3119608279015935,4,2,-0.0019251515814663958,S,7,-0.0002750216544951994,0,1
0,2,1,-0.4439203136048163,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,1
0,3,0,-0.05064862638444217,0,0,-0.47938041594984565,S,1,-0.47938041594984565,1,1
0,2,1,1.5224381224970545,1,0,-0.10983454798564649,S,2,-0.05491727399282324,0,0
1,2,0,-2.017007062486313,0,2,-0.10482715140076575,S,3,-0.03494238380025525,0,1
0,2,1,-0.935509922630284,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,1
0,2,1,0.4409409826410255,0,0,-0.38474062049559954,S,1,-0.38474062049559954,1,0
0,3,0,-0.05064862638444217,1,0,-0.34109214594451104,C,2,-0.17054607297225552,0,1
1,3,0,-0.05064862638444217,1,0,-0.3201452045506379,Q,2,-0.16007260227531894,0,1
0,2,1,0.04766929542065137,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,0
0,3,1,-0.6405561572150034,0,0,-0.48789299014414295,S,1,-0.48789299014414295,1,1
0,3,1,0.1459872172257449,0,0,-0.4858900315101906,C,1,-0.4858900315101906,1,0
0,1,1,1.5224381224970545,2,0,1.1720589777438248,Q,3,0.3906863259146083,0,0
0,3,0,-0.3456023917997228,0,0,-0.474873759023453,S,1,-0.474873759023453,1,1
1,2,0,-0.4439203136048163,0,2,-0.3401747908901609,S,3,-0.11339159696338696,0,1
1,1,1,0.8342126698613996,1,1,0.4220350935913149,S,3,0.1406783645304383,0,0
0,2,1,2.50561734054799,1,0,-0.10983454798564649,S,2,-0.05491727399282324,0,0
0,3,1,-0.05064862638444217,0,0,-0.48538929185170254,S,1,-0.48538929185170254,1,1
0,3,0,0.04766929542065137,1,1,-0.421044245735985,S,3,-0.140348081911995,0,0
0,3,1,0.1459872172257449,1,0,-0.30812745274692405,S,2,-0.15406372637346202,0,0
0,3,0,1.2274843570817737,0,2,-0.22575577892563584,S,3,-0.07525192630854528,0,0
1,3,0,0.04766929542065137,0,2,-0.32523672539814463,C,3,-0.10841224179938154,0,0
1,1,0,-0.05064862638444217,0,0,0.9557394452769766,C,1,0.9557394452769766,1,1
1,1,0,0.1459872172257449,0,0,1.1019554255554944,S,1,1.1019554255554944,1,0
1,1,0,0.6375768262512126,0,0,9.631138152845498,C,1,9.631138152845498,1,0
1,2,0,2.1123456533276155,0,1,-0.10983454798564649,S,2,-0.05491727399282324,0,0
0,3,1,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
1,3,1,-2.5085966715117807,4,2,-0.0019251515814663958,S,7,-0.0002750216544951994,0,1
0,1,1,2.3089814969378026,1,1,0.964752759129762,S,3,0.321584253043254,0,0
0,1,1,1.1291664352766801,0,0,-0.6306037928132442,S,1,-0.6306037928132442,1,0
0,3,0,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
0,2,1,0.7358947480563062,0,0,-0.4202931362482528,S,1,-0.4202931362482528,1,0
0,3,1,-1.2304636880455646,4,1,0.16432041503657444,S,6,0.027386735839429074,0,1
1,3,1,-0.3456023917997228,1,0,-0.474873759023453,S,2,-0.2374368795117265,0,1
1,1,0,0.6375768262512126,0,0,2.086075100051179,S,1,2.086075100051179,1,0
0,1,1,-0.05064862638444217,0,0,-0.00968661628803154,S,1,-0.00968661628803154,1,1
1,3,1,-0.3456023917997228,0,0,-0.6306037928132442,S,1,-0.6306037928132442,1,1
1,2,0,1.2274843570817737,0,1,-0.24002685919254593,S,2,-0.12001342959627297,0,0
0,1,1,0.8342126698613996,0,1,-0.03572507852941144,C,2,-0.01786253926470572,0,0
1,3,0,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
0,3,0,1.620756044302148,0,0,-0.47537449868194104,S,1,-0.47537449868194104,1,0
0,2,1,-0.05064862638444217,0,0,-0.6306037928132442,S,1,-0.6306037928132442,1,1
0,3,1,-2.1153249842914064,4,1,-0.047242090674637145,Q,6,-0.007873681779106191,0,1
1,3,0,0.6375768262512126,1,1,-0.22500466943790368,S,3,-0.07500155647930122,0,0
0,3,1,-0.05064862638444217,0,0,-0.4732874157853628,S,1,-0.4732874157853628,1,1
0,3,1,-1.2304636880455646,0,0,-0.4403227225877758,S,1,-0.4403227225877758,1,1
1,3,1,-0.935509922630284,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
0,1,1,-0.05064862638444217,0,0,-0.10983454798564649,S,1,-0.10983454798564649,1,1
0,3,1,0.4409409826410255,0,0,-0.45709750114712633,C,1,-0.45709750114712633,1,0
1,3,1,0.1459872172257449,0,0,-0.4403227225877758,S,1,-0.4403227225877758,1,0
0,3,1,-0.6405561572150034,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
1,2,1,1.3258022788868673,0,0,-0.37021917039944535,S,1,-0.37021917039944535,1,0
1,3,0,-0.6405561572150034,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
1,1,0,-0.24728446999462925,0,0,0.9487290900581434,S,1,0.9487290900581434,1,1
1,1,0,-0.935509922630284,1,0,1.193674907321438,C,2,0.596837453660719,0,1
0,2,1,0.7358947480563062,0,0,-0.37272286869188576,C,1,-0.37272286869188576,1,0
0,3,0,-0.4439203136048163,0,0,-0.45334195370846575,S,1,-0.45334195370846575,1,1
0,3,1,-0.4439203136048163,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
0,1,1,-0.05064862638444217,0,0,-0.07536763581259531,C,1,-0.07536763581259531,1,1
0,3,1,-0.49307927450736305,0,0,-0.4858059072475647,C,1,-0.4858059072475647,1,1
1,1,1,-0.05064862638444217,0,0,-0.019701409457793036,S,1,-0.019701409457793036,1,1
1,1,0,2.1123456533276155,0,1,4.3271354416145575,C,2,2.1635677208072788,0,0
1,3,0,-0.05064862638444217,0,0,-0.47537449868194104,Q,1,-0.47537449868194104,1,1
1,3,1,-0.05064862638444217,2,0,-0.1649159104193347,Q,3,-0.05497197013977823,0,1
0,3,1,-0.935509922630284,0,0,-0.6306037928132442,S,1,-0.6306037928132442,1,1
1,2,0,-0.05064862638444217,0,0,-0.3832384015201353,Q,1,-0.3832384015201353,1,1
0,3,1,-0.05064862638444217,0,0,-0.46936562278008415,S,1,-0.46936562278008415,1,1
1,1,0,-0.05064862638444217,0,0,1.5903428381479856,C,1,1.5903428381479856,1,1
1,1,0,-1.132145766240471,1,0,1.5506181595608093,C,2,0.7753090797804046,0,1
0,2,1,0.1459872172257449,1,0,-0.14989372066469248,C,2,-0.07494686033234624,0,0
1,1,0,0.1459872172257449,0,0,0.509664533826728,C,1,0.509664533826728,1,0
1,1,0,-0.4439203136048163,0,0,1.0350225568847105,C,1,1.0350225568847105,1,1
1,1,0,-1.0338278444353775,2,2,4.6246589230191,C,5,0.9249317846038201,0,1
0,2,0,-0.24728446999462925,1,1,-0.10983454798564649,S,3,-0.0366115159952155,0,1
0,3,1,-0.05064862638444217,0,0,-0.47245418499363856,S,1,-0.47245418499363856,1,1
0,2,1,1.4241202006919609,1,1,-0.10482715140076575,S,3,-0.03494238380025525,0,0
1,3,0,-0.24728446999462925,0,0,-0.4732874157853628,S,1,-0.4732874157853628,1,1
1,2,0,-0.4439203136048163,1,0,-0.10983454798564649,S,2,-0.05491727399282324,0,1
0,2,1,2.50561734054799,0,0,-0.3501895840599224,S,1,-0.3501895840599224,1,0
1,1,0,0.24430513903083845,0,2,2.671608009348991,S,3,0.8905360031163303,0,0
1,1,0,1.1291664352766801,1,1,2.0633755698525977,C,3,0.6877918566175326,0,0
